"Pred","Prey","PredSize","PreySize"
"Nucella_canaliculata","Balanus_glandula",14.5,1.6
"Nucella_canaliculata","Mytilus_californianus",16,5
"Nucella_canaliculata","Mytilus_trossulus",19,16.7
"Nucella_canaliculata","Not_Feeding",13.5,0
"Nucella_canaliculata","Pollicipes_polymerus",15,5.3
"Nucella_canaliculata","Semibalanus_cariosus",16,10
"Nucella_ostrina","Balanus_glandula",12.7,1.7
"Nucella_ostrina","Chthamalus_dalli",12.1,1.1
"Nucella_ostrina","Lottia_asmi",13.6,4.4
"Nucella_ostrina","Lottia_digitalis",13.5,5.5
"Nucella_ostrina","Lottia_pelta",16,11
"Nucella_ostrina","Mytilus_californianus",20,58
"Nucella_ostrina","Mytilus_trossulus",13.7,11
"Nucella_ostrina","Not_Feeding",13.2,0
"Nucella_ostrina","Nucella_ostrina",15.4,12
"Nucella_ostrina","Pollicipes_polymerus",14.1,5.1
"Nucella_ostrina","Semibalanus_cariosus",16,6.3
